filename,Precision,Recall,F1,Accuracy,processing_time
[123doc] - File4,0.9847094801223242,0.9938271604938271,0.989247311827957,0.5920818505338078,1.7390820980072021
[123doc] - File3,0.603,0.9013452914798207,0.7225883762732176,0.8038822985672469,10.919625043869019
[123doc] - File12,0.7974683544303798,0.693,0.7415730337078652,0.5952807160292921,11.53067421913147
[123doc] - File1,0.494,0.494,0.494,0.0,11.714203596115112
[123doc] - File5,0.9089615931721194,0.639,0.7504403992953611,0.3463466666666667,9.784181594848633
[123doc] - File10,0.729,0.729,0.729,0.5281254116717166,12.581347703933716
[123doc] - File13,0.878,0.878,0.878,0.31604420424296203,13.885324954986572
[123doc] - File11,0.966,0.966,0.966,0.8211621515508442,14.798334836959839
[123doc] - File2,0.737,0.737,0.737,0.3844566268945501,17.56276297569275
[123doc] - File8,0.5383304940374787,0.42416107382550333,0.47447447447447444,0.409256294571387,6.795439958572388
[123doc] - File6,0.614,0.614,0.614,0.7806391560657773,11.083116054534912
[123doc] - File9,0.685,0.685,0.685,0.0,11.253171682357788
[123doc] - File7,0.9876923076923076,0.963,0.9751898734177215,0.5487885608367536,13.15733528137207
