filename,Precision,Recall,F1,Accuracy,processing_time
[123doc] - File12,0.8505494505494505,0.387,0.5319587628865978,0.0,4.56599235534668
[123doc] - File3,0.9117647058823529,0.13901345291479822,0.24124513618677043,0.0,1.091364860534668
[123doc] - File4,1.0,0.9753086419753086,0.9875,0.5003417634996582,0.46340227127075195
[123doc] - File10,0.8477987421383648,0.674,0.750974930362117,0.420482122633878,10.02423644065857
[123doc] - File1,0.872,0.872,0.872,0.0,13.565271615982056
[123doc] - File11,0.873,0.873,0.8729999999999999,0.0,15.255275249481201
[123doc] - File13,0.887,0.887,0.887,0.1819537658463833,10.996216058731079
[123doc] - File8,0.9135802469135802,0.4966442953020134,0.6434782608695653,0.4104815110401703,6.320734739303589
[123doc] - File5,0.9366438356164384,0.547,0.6906565656565656,0.3590053661854735,11.097538471221924
[123doc] - File7,0.9973958333333334,0.766,0.8665158371040724,0.0,13.371183395385742
[123doc] - File2,0.72,0.72,0.72,0.3310986555299117,16.727539777755737
[123doc] - File9,0.646,0.646,0.646,0.0,10.908368587493896
[123doc] - File6,0.9577464788732394,0.884,0.9193967758710347,0.5800326822815345,15.265654802322388
