filename,Precision,Recall,F1,Accuracy,processing_time
[123doc] - File4,1.0,1.0,1.0,0.5249487354750513,0.995673656463623
[123doc] - File1,0.802,0.802,0.802,0.0,12.097467422485352
[123doc] - File12,0.7970011534025375,0.691,0.740224959828602,0.46725107509096925,9.270405054092407
[123doc] - File10,0.918,0.918,0.918,0.5123879109930256,14.940521240234375
[123doc] - File11,0.952,0.952,0.952,0.7268516374079392,13.987869024276733
[123doc] - File13,0.847,0.847,0.847,0.2909685328974254,11.256316184997559
[123doc] - File3,0.9926253687315634,1.0,0.9962990377498149,0.6862681744749596,11.061042785644531
[123doc] - File5,0.963,0.963,0.963,0.6661997835360031,12.602709293365479
[123doc] - File8,0.8150537634408602,0.508724832214765,0.6264462809917355,0.3679040693966067,6.473742246627808
[123doc] - File2,0.747,0.747,0.747,0.4056111028204746,15.574140787124634
[123doc] - File7,0.9877899877899878,0.809,0.8894997251236942,0.6278080326752893,11.841537952423096
[123doc] - File6,1.0,1.0,1.0,0.9824355207313091,14.058926820755005
[123doc] - File9,0.693,0.693,0.693,0.0,11.728276014328003
