filename,Precision,Recall,F1,Accuracy,processing_time
[123doc] - File1,0.9725050916496945,0.955,0.9636730575176589,0.20056657223796034,11.176822423934937
[123doc] - File4,1.0,1.0,1.0,0.49069539666993145,0.1581745147705078
[123doc] - File12,0.7946943483275664,0.689,0.7380824852704875,0.5587878787878788,9.349581241607666
[123doc] - File3,1.0,1.0,1.0,0.9805650824759105,4.934753656387329
[123doc] - File10,0.964,0.964,0.964,0.4123226344942712,12.852023124694824
[123doc] - File2,0.753,0.753,0.753,0.0,7.720561742782593
[123doc] - File11,0.973,0.973,0.973,0.8436436436436436,11.311948299407959
[123doc] - File13,0.927,0.927,0.927,0.48209997207483946,13.383027076721191
[123doc] - File8,1.0,0.5369127516778524,0.6986899563318777,0.5537765402018796,8.930821895599365
[123doc] - File5,0.969,0.969,0.969,0.7027110052991322,13.205902814865112
[123doc] - File6,1.0,1.0,1.0,0.9639764690329831,14.168260335922241
[123doc] - File7,0.9898580121703854,0.976,0.9828801611278952,0.5942320590207915,12.131924152374268
[123doc] - File9,0.729,0.729,0.729,0.0,12.177474975585938
