filename,Precision,Recall,F1,Accuracy,processing_time
[123doc] - File10,0.952,0.952,0.952,0.5809597523219814,11.464873552322388
[123doc] - File4,1.0,1.0,1.0,0.18530524041058888,0.543220043182373
[123doc] - File1,0.963855421686747,0.96,0.9619238476953907,0.2615066691715198,12.30185842514038
[123doc] - File11,0.953,0.953,0.953,0.7653371127758656,10.233193635940552
[123doc] - File12,0.7914252607184241,0.683,0.7332259796027912,0.6123693379790941,6.773227691650391
[123doc] - File13,0.907,0.907,0.907,0.7718465796757612,9.90126085281372
[123doc] - File3,0.978448275862069,1.0,0.9891067538126361,0.9436911788163982,8.404646158218384
[123doc] - File2,0.759,0.759,0.7590000000000001,0.0,9.409218788146973
[123doc] - File8,1.0,0.538255033557047,0.699825479930192,0.0,5.3573503494262695
[123doc] - File5,0.9067909454061251,0.681,0.777841233580811,0.5737137203166227,8.03872013092041
[123doc] - File7,0.9898477157360406,0.975,0.982367758186398,0.5952155696715773,7.392330169677734
[123doc] - File9,0.725,0.725,0.7250000000000001,0.0,4.8738112449646
[123doc] - File6,0.996,0.996,0.996,0.8806545405368855,7.787919282913208
